47.239.4.246:8443#HK1 50.64MB/s
8.219.155.125:443#JP1 47.09MB/s
8.210.29.68:443#HK2 44.17MB/s
8.222.193.153:443#JP2 36.59MB/s
149.28.129.157:2053#SG1 27.00MB/s
139.180.220.7:443#SG2 35.34MB/s
8.222.185.236:443#JP3 23.96MB/s
47.239.4.246:2053#HK3 20.91MB/s
54.238.157.207:443#JP4 20.85MB/s
3.1.116.161:8443#SG3 19.81MB/s
47.239.4.246:443#HK4 11.65MB/s
3.1.116.161:2053#SG4 8.36MB/s
149.28.152.204:443#SG5 8.36MB/s
154.31.117.200:443#JP3 35.90MB/s1
154.12.191.211:443#JP4 34.05MB/s1
65.52.160.128:8443#HK5 21.91MB/s1
52.196.133.194:443#JP5 14.47MB/s1
